epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3381,0.58895,1.18281,3.41567,0.91274,0,0.01277,0.85577,0.29087,0.23029,0.01283,0.86139,0.29579,0.25899,0.45578,1.10866,3.36182,0.81023,0,0.0001375,0.0001375,0.0001375
2,67.9767,0.60782,0.94031,2.69512,0.87836,0,0.01407,0.89303,0.5686,0.50307,0.01411,0.8958,0.56904,0.51425,0.49353,0.91498,3.29123,0.8093,0,0.000284654,0.000284654,0.000284654
3,101.341,0.65549,0.90629,1.92845,0.87835,0,0.01446,0.89626,0.77161,0.66579,0.01463,0.90752,0.77653,0.66865,0.54602,0.90889,3.17824,0.81585,0,0.000428838,0.000428838,0.000428838
4,132.917,0.64255,0.79005,1.27706,0.8882,0,0.01788,0.85593,0.75193,0.64622,0.01829,0.87869,0.75881,0.68351,0.56947,0.73136,3.10392,0.82851,0,0.000570051,0.000570051,0.000570051
5,163.641,0.58419,0.7001,1.07042,0.8701,0,1,0.15299,0.71431,0.60784,1,0.15555,0.71403,0.65447,0.60148,0.71968,2.96638,0.8439,0,0.000708295,0.000708295,0.000708295
6,195.629,0.59266,0.7128,0.97355,0.86389,0,1,0.07688,0.7736,0.67145,1,0.07688,0.77207,0.65841,0.5755,0.9732,2.84264,0.84247,0,0.000843569,0.000843569,0.000843569
7,235.016,0.57456,0.63053,0.89725,0.86114,0,0.99641,0.48499,0.84796,0.7392,0.99641,0.48499,0.84854,0.7208,0.56677,0.92357,2.39166,0.834,0,0.000975872,0.000975872,0.000975872
8,274.125,0.60088,0.88013,0.90618,0.8831,0,0.93905,0.68228,0.8522,0.74651,0.93905,0.68228,0.8535,0.74462,0.5628,0.94237,2.06233,0.83311,0,0.00110521,0.00110521,0.00110521
9,312.596,0.5951,0.71122,0.89254,0.86618,0,0.95773,0.78034,0.88679,0.76802,0.9488,0.77221,0.87002,0.66369,0.59667,1.86905,1.78271,0.84355,0,0.001151,0.001151,0.001151
10,351.243,0.54308,0.7981,0.82247,0.86369,0,0.85549,0.72118,0.81932,0.70987,0.85549,0.72118,0.82353,0.68494,0.58356,1.27363,1.83864,0.85698,0,0.00113863,0.00113863,0.00113863
11,390.473,0.55457,0.65835,0.80952,0.85897,0,0.96056,0.85382,0.93421,0.81291,0.96056,0.85382,0.934,0.82583,0.53262,0.7532,1.38564,0.82865,0,0.00112625,0.00112625,0.00112625
12,428.385,0.55371,0.69349,0.79333,0.86795,0,0.97279,0.87966,0.94573,0.82891,0.97279,0.87966,0.94421,0.82727,0.53364,0.79278,1.20297,0.82358,0,0.00111388,0.00111388,0.00111388
13,465.719,0.55902,0.68385,0.79258,0.8619,0,0.971,0.89309,0.94678,0.83282,0.971,0.89309,0.94889,0.80501,0.52134,0.81601,1.13545,0.8318,0,0.0011015,0.0011015,0.0011015
14,501.256,0.55266,0.70471,0.75669,0.84896,0,0.92897,0.87216,0.92972,0.80778,0.93774,0.87921,0.93455,0.80174,0.55714,0.74097,1.1445,0.84639,0,0.00108913,0.00108913,0.00108913
15,539.019,0.51444,0.60537,0.71736,0.85049,0,0.9727,0.9303,0.97219,0.85222,0.9727,0.9303,0.97249,0.86054,0.49754,0.60252,0.8388,0.81714,0,0.00107675,0.00107675,0.00107675
16,579.935,0.50764,0.65953,0.69126,0.84783,0,0.95992,0.91156,0.94957,0.85371,0.95992,0.91156,0.94988,0.8444,0.44649,0.55173,0.70093,0.80479,0,0.00106437,0.00106437,0.00106437
17,621.532,0.49544,0.59802,0.66172,0.84854,0,0.95912,0.95081,0.97055,0.87165,0.95636,0.94812,0.96872,0.85189,0.42061,0.48699,0.67173,0.79576,0,0.001052,0.001052,0.001052
18,665.938,0.4918,0.53572,0.66239,0.83628,0,0.96995,0.96025,0.98064,0.88621,0.96722,0.95747,0.97641,0.87596,0.42196,0.47505,0.65844,0.79466,0,0.00103962,0.00103962,0.00103962
19,705.959,0.51494,0.63948,0.66719,0.84924,0,0.98577,0.96593,0.98133,0.89687,0.98283,0.96322,0.97478,0.88031,0.4048,0.54682,0.61918,0.78996,0,0.00102725,0.00102725,0.00102725
20,745.427,0.48449,0.58325,0.63187,0.84837,0,0.98701,0.9442,0.97498,0.89033,0.98701,0.9442,0.97268,0.86926,0.40419,0.49523,0.6027,0.7889,0,0.00101488,0.00101488,0.00101488
21,785.897,0.46479,0.53835,0.61206,0.8449,0,0.97534,0.96811,0.97949,0.89695,0.97534,0.96811,0.97886,0.8966,0.41126,0.52917,0.60956,0.78988,0,0.0010025,0.0010025,0.0010025
22,824.876,0.4647,0.51569,0.60109,0.84841,0,0.99317,0.95779,0.98274,0.89396,0.99317,0.95779,0.9796,0.89361,0.41178,0.50389,0.57389,0.79071,0,0.000990125,0.000990125,0.000990125
23,862.065,0.47881,0.53975,0.59534,0.84383,0,0.99275,0.94976,0.98372,0.90461,0.99275,0.94976,0.98171,0.8748,0.38686,0.49322,0.55382,0.78976,0,0.00097775,0.00097775,0.00097775
24,901.044,0.46401,0.63343,0.59428,0.82849,0,0.98288,0.97454,0.98893,0.90884,0.98284,0.96925,0.99109,0.9025,0.38479,0.45669,0.55325,0.78729,0,0.000965375,0.000965375,0.000965375
25,941.602,0.44678,0.53728,0.55266,0.83598,0,0.98329,0.9583,0.99107,0.91012,0.98329,0.9583,0.98989,0.88967,0.38096,0.43275,0.55548,0.78654,0,0.000953,0.000953,0.000953
26,981.521,0.44488,0.56806,0.5597,0.83456,0,0.99155,0.92687,0.97077,0.89456,0.99155,0.92687,0.96793,0.86074,0.37511,0.49381,0.54235,0.78801,0,0.000940625,0.000940625,0.000940625
27,1018.48,0.44178,0.55699,0.56119,0.84112,0,0.99639,0.95332,0.98922,0.91145,0.99639,0.95332,0.98391,0.89796,0.37979,0.42006,0.51982,0.78592,0,0.00092825,0.00092825,0.00092825
28,1058.66,0.46226,0.50851,0.55723,0.83404,0,0.9902,0.96066,0.98067,0.90325,0.98995,0.9603,0.9759,0.8798,0.36515,0.46538,0.51911,0.78402,0,0.000915875,0.000915875,0.000915875
29,1099.15,0.45884,0.48364,0.55559,0.83797,0,0.97567,0.97525,0.98961,0.91855,0.97567,0.97525,0.98906,0.88687,0.34682,0.55912,0.50037,0.78131,0,0.0009035,0.0009035,0.0009035
30,1139.15,0.43438,0.55694,0.54054,0.8304,0,0.98094,0.96229,0.98498,0.91309,0.9821,0.95793,0.98613,0.89473,0.37295,0.45867,0.51577,0.78672,0,0.000891125,0.000891125,0.000891125
31,1181.6,0.45454,0.56966,0.54478,0.82889,0,0.98682,0.94946,0.97232,0.90667,0.98682,0.94946,0.97009,0.87772,0.35625,0.48783,0.53956,0.78316,0,0.00087875,0.00087875,0.00087875
32,1223.25,0.44345,0.53759,0.54048,0.82869,0,0.98606,0.97611,0.98919,0.91351,0.99183,0.97038,0.98768,0.89339,0.35287,0.40227,0.48424,0.78486,0,0.000866375,0.000866375,0.000866375
33,1264.93,0.41318,0.52809,0.50477,0.8247,0,0.99477,0.97114,0.99179,0.91391,0.99477,0.97114,0.99122,0.88709,0.35039,0.38454,0.46424,0.78528,0,0.000854,0.000854,0.000854
34,1308.38,0.44033,0.54735,0.52266,0.82086,0,0.99553,0.94873,0.97356,0.90688,0.99553,0.94873,0.97016,0.87135,0.34308,0.38751,0.46739,0.78312,0,0.000841625,0.000841625,0.000841625
35,1350.12,0.43232,0.51005,0.50372,0.83673,0,0.9872,0.96276,0.98644,0.92292,0.9872,0.96276,0.98531,0.88611,0.33996,0.38022,0.45634,0.78247,0,0.00082925,0.00082925,0.00082925
36,1397.11,0.43177,0.52861,0.50979,0.83271,0,0.99243,0.95975,0.9846,0.92926,0.99243,0.95975,0.98464,0.89896,0.32264,0.39533,0.46145,0.7831,0,0.000816875,0.000816875,0.000816875
37,1443.98,0.42458,0.5317,0.50074,0.83365,0,0.99678,0.96264,0.98763,0.92858,0.99678,0.96264,0.98939,0.88908,0.31356,0.38939,0.43989,0.77929,0,0.0008045,0.0008045,0.0008045
