epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2546,0.58565,1.05847,3.49435,0.90466,0,0.01176,0.8229,0.27558,0.23581,0.01224,0.85799,0.31553,0.27311,0.39896,0.52598,3.47643,0.79746,0,0.0001125,0.0001125,0.0001125
2,65.5848,0.62096,1.01314,2.92097,0.87595,0,0.01442,0.9111,0.49906,0.42331,0.01464,0.92888,0.49845,0.45521,0.48052,0.52235,3.43777,0.80246,0,0.000235149,0.000235149,0.000235149
3,84.5327,0.6365,0.78093,2.20179,0.88831,0,0.01602,0.93789,0.65792,0.57678,0.01614,0.94689,0.66089,0.56469,0.48328,0.70544,3.35473,0.80569,0,0.000355322,0.000355322,0.000355322
4,106.642,0.68211,0.82687,1.58785,0.886,0,0.01427,0.92911,0.7905,0.68041,0.0145,0.94689,0.79415,0.71324,0.58017,0.6056,3.29773,0.81542,0,0.000473021,0.000473021,0.000473021
5,127.279,0.62061,0.78068,1.32104,0.8953,0,0.01277,0.86771,0.70581,0.61601,0.01315,0.89403,0.71963,0.63338,0.5937,0.76575,3.25997,0.84418,0,0.000588245,0.000588245,0.000588245
6,149.161,0.60107,0.68189,1.02894,0.88489,0,1,0.15401,0.65811,0.57861,1,0.15401,0.67653,0.60709,0.58496,0.66029,3.09863,0.82935,0,0.000700994,0.000700994,0.000700994
7,171.611,0.60265,0.77349,1.044,0.8882,0,1,0.16914,0.63056,0.53554,1,0.16914,0.63884,0.55747,0.53755,0.57742,3.04818,0.81312,0,0.000811267,0.000811267,0.000811267
8,192.424,0.61305,0.80694,0.95379,0.87588,0,1,0.32714,0.88517,0.7639,1,0.32714,0.88277,0.71666,0.55948,0.88599,2.68077,0.81299,0,0.000919066,0.000919066,0.000919066
9,213.597,0.56502,0.74804,0.89707,0.8533,0,1,0.50554,0.83631,0.71476,1,0.50554,0.83962,0.68354,0.5914,1.09569,2.53854,0.8394,0,0.00102439,0.00102439,0.00102439
10,237.512,0.56998,1.06211,0.95142,0.87892,0,0.97623,0.61434,0.87328,0.70509,0.97623,0.61434,0.87131,0.71648,0.69079,1.31827,2.41037,0.85272,0,0.00112724,0.00112724,0.00112724
11,261.84,0.61957,0.76136,0.95925,0.86992,0,0.98579,0.7373,0.81692,0.70833,0.98579,0.7373,0.81692,0.70133,0.59542,0.81418,1.89653,0.84072,0,0.00112625,0.00112625,0.00112625
12,285.221,0.59384,0.66286,0.9124,0.88442,0,0.96023,0.75019,0.80425,0.71823,0.96023,0.75019,0.80425,0.71364,0.52659,0.58713,1.37112,0.81328,0,0.00111388,0.00111388,0.00111388
13,310.344,0.61095,0.85073,0.88842,0.87415,0,0.9403,0.7942,0.84093,0.73806,0.9403,0.7942,0.84093,0.75266,0.52837,0.60798,1.18,0.80945,0,0.0011015,0.0011015,0.0011015
14,334.331,0.53701,0.66081,0.83826,0.86283,0,0.98558,0.8475,0.91838,0.80244,0.96503,0.82949,0.90489,0.80847,0.48998,0.61057,0.93534,0.81024,0,0.00108913,0.00108913,0.00108913
15,359.588,0.5404,0.64938,0.77424,0.8579,0,0.94541,0.83655,0.87137,0.75208,0.93628,0.82754,0.8551,0.75338,0.51235,0.64453,0.98888,0.8059,0,0.00107675,0.00107675,0.00107675
16,384.707,0.53789,0.70151,0.76367,0.8517,0,0.97126,0.85223,0.898,0.78253,0.961,0.84322,0.8834,0.78231,0.4798,0.70128,0.91863,0.8069,0,0.00106437,0.00106437,0.00106437
17,408.06,0.55379,0.67439,0.86092,0.84984,0,0.93885,0.91591,0.95177,0.83839,0.93885,0.91591,0.95177,0.83162,0.50471,0.62467,0.88007,0.80948,0,0.001052,0.001052,0.001052
18,430.712,0.50042,0.69981,0.72197,0.83614,0,0.95797,0.95072,0.96964,0.87169,0.94888,0.94171,0.95854,0.8183,0.41721,0.59496,0.85182,0.79396,0,0.00103962,0.00103962,0.00103962
19,453.234,0.50845,0.61317,0.72763,0.85093,0,0.9531,0.92836,0.97141,0.87211,0.9531,0.92836,0.97397,0.86071,0.43994,0.59541,0.80458,0.80114,0,0.00102725,0.00102725,0.00102725
20,475.961,0.50787,0.55524,0.69867,0.86874,0,0.98499,0.9728,0.98605,0.88771,0.98499,0.9728,0.98605,0.8769,0.43102,0.53675,0.76449,0.79146,0,0.00101488,0.00101488,0.00101488
21,497.665,0.51051,0.65115,0.73647,0.86364,0,0.96763,0.93448,0.96526,0.8859,0.96763,0.93448,0.96215,0.8445,0.42483,0.69306,0.77955,0.79109,0,0.0010025,0.0010025,0.0010025
22,518.76,0.46597,0.60597,0.64929,0.83794,0,0.9744,0.96624,0.98309,0.90703,0.96497,0.95738,0.9731,0.85287,0.40366,0.62919,0.72391,0.793,0,0.000990125,0.000990125,0.000990125
23,539.652,0.48531,0.59731,0.66117,0.82855,0,0.96758,0.98253,0.98752,0.90569,0.9585,0.97384,0.97808,0.85607,0.40454,0.54876,0.73121,0.78969,0,0.00097775,0.00097775,0.00097775
24,561.329,0.52056,0.62388,0.68634,0.84413,0,0.97871,0.98113,0.98554,0.88303,0.96999,0.97235,0.97542,0.88045,0.42113,0.5148,0.72511,0.79288,0,0.000965375,0.000965375,0.000965375
25,582.472,0.476,0.511,0.63937,0.83056,0,0.95275,0.98552,0.98575,0.90137,0.95275,0.98552,0.98697,0.87729,0.396,0.50231,0.65768,0.78599,0,0.000953,0.000953,0.000953
26,605.649,0.46819,0.54077,0.6105,0.84343,0,0.97539,0.98869,0.98794,0.88941,0.96631,0.97977,0.98033,0.8932,0.38674,0.66666,0.6012,0.78836,0,0.000940625,0.000940625,0.000940625
27,632.846,0.47144,0.56561,0.63215,0.841,0,0.98631,0.96634,0.98684,0.91803,0.97709,0.95733,0.97995,0.90514,0.36865,0.68826,0.60437,0.7837,0,0.00092825,0.00092825,0.00092825
28,657.454,0.47704,0.52205,0.59455,0.83405,0,0.97904,0.97758,0.98549,0.90603,0.97904,0.97758,0.98549,0.87325,0.40001,0.41249,0.58148,0.78138,0,0.000915875,0.000915875,0.000915875
29,680.646,0.47419,0.56599,0.60329,0.85045,0,0.97158,0.97995,0.9869,0.91776,0.97158,0.97995,0.98697,0.9024,0.3955,0.41732,0.62653,0.78237,0,0.0009035,0.0009035,0.0009035
30,703.64,0.46987,0.56618,0.61066,0.83955,0,0.97555,0.96426,0.9826,0.91406,0.97555,0.96426,0.97841,0.86675,0.3846,0.50097,0.64281,0.78501,0,0.000891125,0.000891125,0.000891125
31,727.133,0.43902,0.58842,0.58615,0.8423,0,0.97381,0.95154,0.98367,0.91465,0.96473,0.94253,0.97344,0.8659,0.36092,0.5901,0.64537,0.77584,0,0.00087875,0.00087875,0.00087875
32,752.205,0.43983,0.53673,0.57704,0.83785,0,0.9958,0.96323,0.98744,0.93435,0.9958,0.96323,0.99343,0.89113,0.33947,0.41159,0.55526,0.77436,0,0.000866375,0.000866375,0.000866375
33,774.024,0.42955,0.50126,0.58167,0.85028,0,0.98926,0.97675,0.98768,0.92076,0.98926,0.97675,0.99327,0.90887,0.35064,0.35523,0.52792,0.77713,0,0.000854,0.000854,0.000854
34,797.032,0.44184,0.53581,0.5645,0.83348,0,0.9851,0.94672,0.98488,0.924,0.9851,0.94672,0.99073,0.90133,0.34923,0.41894,0.58266,0.77959,0,0.000841625,0.000841625,0.000841625
35,819.456,0.447,0.56971,0.56982,0.8305,0,0.97913,0.98246,0.98599,0.90798,0.97913,0.98246,0.98599,0.8972,0.38869,0.44055,0.5801,0.79629,0,0.00082925,0.00082925,0.00082925
36,841.772,0.46545,0.61722,0.65848,0.83979,0,0.99384,0.96818,0.98607,0.91168,0.99384,0.96818,0.99251,0.8943,0.40226,0.45856,0.54438,0.78511,0,0.000816875,0.000816875,0.000816875
37,864.679,0.41816,0.49678,0.53227,0.8312,0,0.99717,0.96836,0.98363,0.92282,0.99717,0.96836,0.99085,0.90972,0.35232,0.39129,0.51585,0.77258,0,0.0008045,0.0008045,0.0008045
38,888.823,0.43791,0.55659,0.54615,0.82994,0,0.99924,0.97368,0.98794,0.92416,0.99924,0.97368,0.98794,0.90304,0.35638,0.38317,0.51309,0.77249,0,0.000792125,0.000792125,0.000792125
39,912.855,0.40828,0.48262,0.52145,0.8186,0,0.99637,0.97933,0.98811,0.92835,0.99637,0.97933,0.98811,0.90926,0.3296,0.38924,0.4798,0.77321,0,0.00077975,0.00077975,0.00077975
40,936.49,0.42465,0.56328,0.5427,0.82023,0,0.99285,0.9813,0.98811,0.92948,0.99285,0.9813,0.99457,0.91367,0.3327,0.42187,0.46633,0.77621,0,0.000767375,0.000767375,0.000767375
41,958.573,0.42348,0.59118,0.52405,0.8424,0,0.98518,0.98531,0.98838,0.93177,0.98518,0.98531,0.99483,0.905,0.31604,0.38454,0.46574,0.77207,0,0.000755,0.000755,0.000755
42,980.579,0.42383,0.51592,0.52961,0.83828,0,0.98945,0.99024,0.98838,0.93129,0.98729,0.993,0.995,0.91667,0.32775,0.37091,0.47047,0.77249,0,0.000742625,0.000742625,0.000742625
43,1004.54,0.38924,0.43008,0.48966,0.82964,0,0.99667,0.97358,0.98838,0.92384,0.99667,0.97358,0.99437,0.90617,0.32005,0.3611,0.44062,0.77317,0,0.00073025,0.00073025,0.00073025
44,1027.68,0.38732,0.6057,0.49615,0.82873,0,0.98945,0.99214,0.995,0.92421,0.98945,0.99214,0.995,0.89605,0.34817,0.39271,0.46228,0.77772,0,0.000717875,0.000717875,0.000717875
45,1051.27,0.40726,0.55604,0.59014,0.83728,0,0.9957,0.98246,0.99457,0.92569,0.9957,0.98246,0.99457,0.90367,0.33123,0.41862,0.43921,0.78101,0,0.0007055,0.0007055,0.0007055
